time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,23.3,19.7,28.2,17.7,,321.0,5.5,,1012.5,,81860,-6.0775,-50.1422,719.0
2024-01-01,27.6,24.7,32.5,4.0,,360.0,0.0,,1011.4,,81863,-6.6533,-47.4183,180.0
2024-01-01,26.8,22.7,32.2,6.6,,6.0,1.6,,1011.1,,81866,-6.0333,-44.2333,179.0
2024-01-01,27.1,23.6,32.0,5.9,,51.0,2.7,,1012.0,,81868,-6.7667,-43.0167,123.0
2024-01-01,27.3,24.0,34.0,12.4,,302.0,4.1,,1011.8,,81869,-6.9742,-42.1469,156.0
2024-01-01,26.0,23.0,31.7,1.6,,349.0,8.3,,1012.8,,81872,-6.0167,-40.2817,415.0
2024-01-01,25.0,21.6,29.0,14.3,,57.0,7.5,,1012.7,,81873,-6.3967,-39.2703,233.0
2024-01-01,25.1,22.6,27.7,13.4,,308.0,5.7,,1013.3,,81875,-6.4672,-37.0847,170.0
2024-01-01,25.3,22.5,30.3,16.8,,50.0,7.3,,1013.0,,81876,-6.2292,-36.0289,237.0
2024-01-01,22.4,20.5,27.5,11.4,,27.0,6.6,,1013.2,,81877,-6.9667,-35.6833,575.0
2024-01-01,24.2,22.0,28.1,9.1,,19.0,2.0,,1013.0,,81878,-6.6108,-35.1347,136.0
2024-01-01,26.0,23.7,30.7,7.9,,9.0,2.9,,1011.3,,81888,-7.2608,-64.7886,64.0
2024-01-01,25.9,23.5,28.7,5.5,,101.0,3.9,,1011.1,,81890,-7.5522,-63.0717,72.0
2024-01-01,25.3,22.9,30.6,2.9,,346.0,6.9,,1011.9,,81900,-7.2708,-48.2011,226.0
2024-01-01,26.6,23.6,29.9,2.4,,334.0,6.5,,1011.6,,81901,-7.3372,-47.4597,192.0
2024-01-01,25.8,23.2,31.5,0.7,,92.0,2.3,,1012.1,,81903,-7.4553,-46.0275,254.0
2024-01-01,24.6,22.1,31.1,8.8,,353.0,2.1,,1012.7,,81905,-7.4747,-44.3447,393.0
2024-01-01,27.2,24.0,32.6,1.6,,14.0,8.0,,1011.8,,81908,-7.0708,-41.4042,233.0
2024-01-01,24.6,22.1,31.1,7.2,,51.0,6.5,,1013.6,,81909,-7.0781,-40.3631,572.0
2024-01-01,26.6,22.7,33.0,8.8,,320.0,7.9,,1011.8,,81910,-7.54,-40.03,464.0
2024-01-01,24.4,20.7,29.9,6.9,,62.0,4.7,,1013.0,,81911,-7.3006,-39.2706,409.0
2024-01-01,23.8,21.5,27.6,28.0,,333.0,7.3,,1013.1,,81912,-7.9536,-38.2947,461.0
2024-01-01,25.8,23.4,29.9,11.2,,3.0,9.4,,1012.9,,81913,-7.0797,-37.2725,249.0
2024-01-01,23.0,21.6,25.5,22.9,,355.0,0.1,,1013.8,,81914,-7.8942,-37.1244,605.0
2024-01-01,23.7,22.0,27.2,10.5,,0.0,1.1,,1013.1,,81915,-7.4833,-36.2864,436.0
2024-01-01,23.0,20.6,27.6,16.5,,44.0,8.1,,1013.9,,81916,-7.2258,-35.9056,548.0
2024-01-01,23.6,21.1,27.5,11.2,,56.0,7.0,,1013.5,,81917,-7.8425,-35.7906,418.0
2024-01-01,25.5,23.2,28.7,3.2,,49.0,3.6,,1011.6,,81918,-7.1419,-34.8508,44.0
2024-01-01,25.9,24.1,31.0,1.7,,24.0,5.4,,1010.2,,81924,-8.1419,-70.3431,163.0
2024-01-01,26.2,23.5,29.6,11.8,,60.0,4.4,,1011.0,,81927,-8.7767,-67.3322,111.0
2024-01-01,25.9,24.0,31.2,11.7,,3.0,5.1,,1011.3,,81932,-8.7931,-63.8467,98.0
2024-01-01,26.5,23.9,31.3,19.6,,311.0,6.2,,1011.6,,81940,-8.2758,-49.2742,180.0
2024-01-01,27.3,23.5,32.1,0.0,,291.0,6.2,,1011.4,,81941,-8.9686,-48.1775,189.0
2024-01-01,27.3,23.7,34.5,8.1,,341.0,4.9,,1011.6,,81950,-8.1325,-41.1428,374.0
2024-01-01,28.9,26.5,34.0,5.6,,7.0,0.4,,1011.9,,81951,-8.5036,-39.3144,342.0
2024-01-01,23.5,20.1,30.0,25.3,,11.0,9.5,,1013.7,,81953,-8.4333,-37.0833,681.0
2024-01-01,26.6,23.5,31.6,8.8,,47.0,7.2,,1012.2,,81954,-8.5094,-37.7114,448.0
2024-01-01,22.9,19.5,28.9,6.1,,41.0,9.3,,1014.0,,81955,-8.9069,-36.4947,822.0
2024-01-01,21.4,19.7,25.5,42.0,,41.0,4.7,,1015.1,,81956,-8.2356,-35.9853,550.0
2024-01-01,26.6,22.6,32.2,11.4,,356.0,6.4,,1012.1,,81957,-8.6664,-35.5681,180.0
2024-01-01,26.1,23.1,30.1,5.1,,32.0,11.0,,1012.6,,81958,-8.05,-34.95,10.0
2024-01-01,26.2,23.4,30.5,3.4,,1.0,6.0,,1010.5,,81963,-9.3661,-69.9344,206.0
2024-01-01,25.4,23.2,29.7,11.9,,38.0,5.1,,1011.1,,81970,-9.9489,-62.9619,140.0
2024-01-01,25.7,23.5,30.6,5.1,,288.0,5.8,,1012.3,,81975,-9.9061,-58.5719,261.0
2024-01-01,26.5,25.0,30.5,26.1,,279.0,3.7,,1011.8,,81976,-9.5639,-57.3936,220.0
2024-01-01,25.5,23.7,30.2,7.0,,317.0,5.1,,1011.5,,81977,-10.0672,-56.7522,294.0
2024-01-01,25.1,23.5,29.7,2.9,,322.0,4.4,,1011.6,,81978,-9.9703,-55.8272,300.0
